trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed
1,2024-10-29 16:59:00,2024-10-29 17:22:00,long,42323.59,42267.34,42436.09,42436.09,tp,100.0,2.0,10100.0,london,42319.59,42292.34,100.0
2,2024-10-29 19:45:00,2024-10-29 20:02:00,short,42303.09,42385.09,42139.09,42387.09,sl,-51.22,-1.024,10048.78,new_york,42360.09,42307.09,-51.2
3,2024-10-30 11:11:00,2024-10-30 13:30:00,long,42286.2,42247.2,42364.2,42245.2,sl,-52.56,-1.051,9996.22,london,42282.2,42272.2,-52.55
4,2024-10-31 15:38:00,2024-10-31 15:58:00,long,42006.76,41959.76,42100.76,41957.76,sl,-52.13,-1.043,9944.09,london,42002.76,41984.76,-52.15
5,2024-10-31 20:49:00,2024-10-31 22:59:00,long,41899.76,41827.01,42045.26,41825.01,sl,-51.37,-1.027,9892.72,new_york,41895.76,41852.01,-51.349999999999994
6,2024-11-01 10:19:00,2024-11-01 11:04:00,short,41807.63,41844.38,41734.13,41846.38,sl,-52.72,-1.054,9840.0,london,41819.38,41811.63,-52.7
7,2024-11-01 15:25:00,2024-11-01 15:40:00,short,41937.48,41973.23,41865.98,41975.23,sl,-52.8,-1.056,9787.2,london,41948.23,41941.48,-52.800000000000004
8,2024-11-01 20:46:00,2024-11-01 21:40:00,short,42047.48,42118.23,41905.98,42120.23,sl,-51.41,-1.028,9735.79,new_york,42093.23,42051.48,-51.4
9,2024-11-01 22:51:00,2024-11-04 01:00:00,long,42019.23,41952.23,42153.23,41950.23,sl,-51.49,-1.03,9684.3,new_york,42015.23,41977.23,-51.5
10,2024-11-05 15:47:00,2024-11-05 16:30:00,long,41870.9,41830.9,41950.9,41828.9,sl,-52.5,-1.05,9631.8,london,41866.9,41855.9,-52.5
11,2024-11-07 10:21:00,2024-11-07 15:37:00,short,43863.26,43908.76,43772.26,43772.26,tp,100.0,2.0,9731.8,london,43883.76,43867.26,100.0
12,2024-11-07 15:50:00,2024-11-07 22:21:00,short,43802.36,43866.11,43674.86,43868.11,sl,-51.57,-1.031,9680.23,london,43841.11,43806.36,-51.55
13,2024-11-07 22:24:00,2024-11-08 17:20:00,long,43806.11,43734.11,43950.11,43950.11,tp,100.0,2.0,9780.23,new_york,43802.11,43759.11,100.0
14,2024-11-08 19:45:00,2024-11-08 21:37:00,long,44020.94,43969.94,44122.94,44122.94,tp,100.0,2.0,9880.23,new_york,44016.94,43994.94,100.0
15,2024-11-11 11:59:00,2024-11-11 16:30:00,long,44165.35,44119.35,44257.35,44257.35,tp,100.0,2.0,9980.23,london,44161.35,44144.35,100.0
16,2024-11-12 13:18:00,2024-11-12 14:01:00,long,44319.68,44279.43,44400.18,44277.43,sl,-52.48,-1.05,9927.75,london,44315.68,44304.43,-52.5
17,2024-11-12 16:39:00,2024-11-12 16:48:00,long,44417.68,44374.68,44503.68,44372.68,sl,-52.33,-1.047,9875.42,london,44413.68,44399.68,-52.349999999999994
18,2024-11-12 17:38:00,2024-11-12 18:18:00,short,44244.68,44291.68,44150.68,44150.68,tp,100.0,2.0,9975.42,london,44266.68,44248.68,100.0
19,2024-11-13 10:25:00,2024-11-13 12:00:00,long,43848.67,43812.17,43921.67,43921.67,tp,100.0,2.0,10075.42,london,43844.67,43837.17,100.0
20,2024-11-13 12:01:00,2024-11-13 13:58:00,short,43911.07,43953.32,43826.57,43826.57,tp,100.0,2.0,10175.42,london,43928.32,43915.07,100.0
